,year,name,project_title,category,fair_country,fair_state,fair_province,awards,project_abstract_link,won_awards,num_awards
14,2014,"Zafra, Michael Angelo",Isolation and Identification of Thermophilic Compost Bacteria and Screening of Their Cellulolytic Activity,Engineering Mechanics,Philippines,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13259,False,0
15,2014,"Ablong, John Steven
                                        <br>
                                     Chan, Danise
                                        <br>
                                     De Chavez, Michael Angelo",Fabrication and Characterization of Chitin Nanowires on Doped N/Mn Carbon Nanostructures for Thin Film Solar Cell Applications,Energy: Physical,Philippines,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13260,False,0
16,2014,"Abuzarov, Ayaz",New Approach to Synthesis of Glucose-Phosphates and Their Use to Increase the Efficiency of ATP,Earth and Environmental Sciences,Azerbaijan,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13261,False,0
17,2014,"Hopkins, Nicholas (School: Fort Walton Beach High School)",Analysis and Design of Powered Exoskeleton Technology Emulating Human Body Functions,Energy: Chemical,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13262,False,0
18,2014,"Ashley, Peter (School: Höhere Technische Bundeslehr- und Versuchsanstalt Villach)
                                        <br>
                                     Coady, Kyle (School: Höhere Technische Bundeslehr- und Versuchsanstalt Villach)","""Prawn Shop"": Can Quarries Sustain Freshwater Prawns?",Engineering Mechanics,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13263,False,0
19,2014,"Hopkins, Alexis (School: Fort Walton Beach High School)",Optimal Navigational Escape Routes for Collision Avoidance Using Multiple Object Tracking,Engineering Mechanics,United States of America,FL,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13264,True,1
20,2014,"Nandu, Avni
                                        <br>
                                     Vu, Stephanie",Project Runway: Creating an Antibacterial/Antifungal Fabric for Military Personnel and Athletes,Robotics and Intelligent Machines,United States of America,TX,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13265,False,0
21,2014,"Craig, Sarah (School: Ion Creanga Theoretical Lyceum)","The Effects of Rhizobia Inoculation on Moringa oleifera Growth, a Fourth Year Study",Physics and Astronomy,United States of America,FL,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13266,True,1
22,2014,"Nelson, Emma (School: Affiliated Middle School to Jilin University)",Evaluating the Effectiveness of Anthocyanin Treatment on the Reduction of CD4 Activity Associated with Cell Membrane Transformation of Viral DNA,Computational Biology and Bioinformatics,United States of America,WY,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13267,False,0
23,2014,"Jumshudlu, Lala (School: Tallinn School No.21)
                                        <br>
                                     Mursagulova, Madina (School: Tallinn School No.21)",Cryogenic Energy Storage,Engineering Mechanics,Azerbaijan,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13268,False,0
24,2014,"Pagels, Hannah (School: Saint Mark's School)",Environmentally Induced Epigenetic Transgenerational Inheritance and Gender Dominance in Locomotory Behavior of D. melanogaster,Plant Sciences,United States of America,OK,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13269,False,0
25,2014,"Collado, Sergio (School: Lycée Vauvenargues)",De-Inking Process: Fungal vs. Bacterial,Environmental Engineering,Puerto Rico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13270,False,0
26,2014,"Lucey, Morgan (School: Generałowa Zamoyska and Helena Modrzejewska Lyceum No.2)",The Effect of Hypoxia on Human Osteosarcoma Cells' Motility and Expression of HIF-1 and HIF-2,Mathematics,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13271,False,0
27,2014,"Pentel, Alexandra (School: Hopkinton High School)",The Effect of Envrionmental Stresses on the Gender Ratio of a Population,Cellular and Molecular Biology,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13272,False,0
28,2014,"Farid, Michael",The Helping Hand,Energy: Chemical,United States of America,TX,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13273,False,0
29,2014,"Vassa, Nirva",I Got C: A Study of Epigallocatechin Gallate on the Stability of Vitamin C and Quality Parameters in Deaerated and Sonicated Fresh Orange Juice using Titration,Chemistry,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13274,False,0
30,2014,"Uppili, Harsha (School: St. John Paul II Catholic High School)",The Fabrication and Characterization of Short and Long Term Memory Proton Induced Thin Film Synaptic Transistors,Energy: Physical,United States of America,OR,,"['First Award of $5,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13275,True,1
31,2014,"Peterson, Andrea",Effect of Hypoxia on Tumor Cell Proteins,Plant Sciences,United States of America,MN,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13276,False,0
32,2014,"Hirsch, Michael
                                        <br>
                                     Lax, Nathan","The Effects of Various Adaptations to PEGASUS-I, an Unmanned Drone Carrier",Engineering Mechanics,United States of America,MN,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13277,False,0
33,2014,"Macris, Griffin (School: Coronado High School)",Applying Directional Antennas to the Field of Emergency Communications: A Comparative Performance Analysis,Energy: Chemical,United States of America,MN,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13278,False,0
34,2014,"Wang, Ellen",Investigation of the Genetic Transmission of the Atgle1 Mutation and Its Effect on Embryogenesis in Arabidopsis thaliana,Computational Biology and Bioinformatics,United States of America,MO,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13279,False,0
35,2014,"Fang, BoLi",A New Method to Determine the Properties of Solutions to One-Variable Cubic Equations with Integral Coefficients,Materials Science,China,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13280,False,0
36,2014,"Anisa', Anisa'
                                        <br>
                                     Saputra, Edwin Luthfi",GO-SENGON: Sengon Wood for Wind Turbine Blades,Energy: Chemical,Indonesia,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13281,False,0
37,2014,"Amaliah, Nur
                                        <br>
                                     Azisah, Inayatul",How the Tallasa’ Kamase-Mase and Customary Law Saved the Tana-Toa Forest and Water Resources,Engineering Mechanics,Indonesia,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13282,False,0
38,2014,"Tseng, Shao-Ying",Studies of Non-Linear Deformation by Electric Point Contact,Systems Software,Chinese Taipei,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13283,False,0
39,2014,"Khivintsev, Maksim
                                        <br>
                                     Velovatyi, Daniil",Laser 3D Scanner,Embedded Systems,Russian Federation,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13285,False,0
40,2014,"Barbeau, Zoe",Dual Function Solar Converter/Solar Shade System Using 3-D Spidron Architecture,Energy: Physical,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13286,False,0
41,2014,"Allahverdiyeva, Nargiz
                                        <br>
                                     Imranov, Jamil","Green Biosynthesis and Characterization of Magnetic Iron Oxides (Fe2O3, Fe3O4) Nanoparticles Using Pomegranate (Punica Granatum) Aqueous Extract",Energy: Physical,Azerbaijan,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13287,False,0
42,2014,"Stafford, Hunter","Optimizing Turbine Efficiency, Year Three",Engineering Mechanics,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13288,False,0
43,2014,"Castro, Jarelly (School: Affiliated Middle School to Jilin University)",Berberine Compounds as a Potential Methodology for Controlling Activity of Select Membrane Proteins,Computational Biology and Bioinformatics,United States of America,WY,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13289,False,0
44,2014,"Jaramillo Lizarraga, Jesus
                                        <br>
                                     Macias Juarez, Aaron",Prodenit,Chemistry,Mexico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13290,False,0
45,2014,"Martinez Jimenez, Angel Alejandro
                                        <br>
                                     Perez Alvarado, Omar
                                        <br>
                                     Pérez Alvarado, Omar",The Dark Matter inside of Early Type Galaxies,Microbiology,Mexico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13291,False,0
46,2014,"Sauceda Lopez, Jose
                                        <br>
                                     Sauceda Lopez, Felipe de Jesus",Sobreviviente (Survivor),Energy: Physical,Mexico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13292,False,0
47,2014,"Cortes García, Tania
                                        <br>
                                     Escarcega Ramirez, Monserrat
                                        <br>
                                     Lopez Carrasco, Andres",Manufacture and Design of a Grating-Based Low Density Polyethylene and Urea Formaldehyde Obtained from Human Urine,Earth and Environmental Sciences,Mexico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13293,False,0
48,2014,"Estrada Hernandez, Karla
                                        <br>
                                     Morales Guerrero, Abigail
                                        <br>
                                     Morales Guerrero, Abigail
                                        <br>
                                     Rebollo Castaneda, Margarita",Rainwater Harvesting,Materials Science,Mexico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13294,False,0
49,2014,"Benitez Serrano, Jesus
                                        <br>
                                     Gomez Quintana, Clara",The Esquilmo Whey of Natural Cheese an Alternative to Prevent Fires at Home,Materials Science,Mexico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13295,False,0
50,2014,"Felipe Trinidad, Lorena
                                        <br>
                                     Morales Jimenez, Edgar
                                        <br>
                                     Ortiz Campos, Maria",CUCARI-YA (Biological Insecticide Based Poisonous Plants),Physics and Astronomy,Mexico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13296,False,0
51,2014,"Beciez Bedolla, Jaqueline
                                        <br>
                                     García Hernandez, Juan Carlos",Educational Module Development Multiple Knowledge,Energy: Chemical,Mexico,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13297,False,0
52,2014,"Caulfield, Sarayu (School: St. John Paul II Catholic High School)
                                        <br>
                                     Ulmer, Alexandra (School: St. John Paul II Catholic High School)",Capacity Limits of Working Memory: The Impact of Multitasking on Cognitive Control and Emotion Recognition in the Adolescent Mind,Chemistry,United States of America,OR,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13298,False,0
53,2014,"Sivakumar, Akash",Escherichia coli Disinfection: Comparing the Effects of Ultraviolet Light and Sodium Hypochlorite,Materials Science,American Samoa,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13299,False,0
54,2014,"Fregly, Christopher
                                        <br>
                                     Kim, Brandon","Optimizing Astronaut Squat Exercise on the International Space Station, Year Three",Systems Software,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13300,False,0
55,2014,"Krishnan, Ajay (School: St. John Paul II Catholic High School)",From Waste to Electricity and Hydrogen Gas: A Novel Power Management Device for Microbial Fuel Cell-Microbial Electrolysis Cell Coupled Systems,Engineering Mechanics,United States of America,OR,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13301,False,0
56,2014,"Shen, Christopher (School: The Energy Coast UTC)",Principles of Electrowetting on Liquid Prism Beam-Steering Module,Energy: Chemical,United States of America,TX,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13302,False,0
57,2014,"Ellison, William","Effect of Wind Turbine Blade Length on Noise, Electricity Production, and Temperature Change",Environmental Engineering,United States of America,OK,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13303,False,0
58,2014,"Kelly, Caitlyn",Comparison of the Foraging Habits of Juvenile Anolis sagrei and Anolis carolinensis Males,Plant Sciences,United States of America,LA,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13304,False,0
59,2014,"Iyengar, Vinay (School: St. John Paul II Catholic High School)","Hybridized Characteristic 3 Galois Field Arithmetic for Elliptic Curve Cryptography, Phase III",Materials Science,United States of America,OR,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13305,False,0
60,2014,"Ralph, Caitlyn","The Changing Face of Education: Development of a Pedagogic Computer Application and Its Effect on Student Cognition, Motivation, and Performance, Year Four",Chemistry,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13306,False,0
61,2014,"Bram, Alanna (School: United High School)",Determination of Factors that Impact Clearance of Suspended Particulate Matter (Dust) in Air,Environmental Engineering,United States of America,MN,,"['Third Award of $1,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13307,True,1
62,2014,"Hogan, Kate (School: Trinity High School)",The Effect of Caffeine on the Development and Nervous System of Drosophila melanogaster,Chemistry,United States of America,MO,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13308,False,0
63,2014,"Ravinder, Divya",ESCAPE from ESKAPE: Effect of Natural Substances on Penetration of Biofilms Formed by the ESKAPE Bacteria,Mathematics,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13309,False,0
64,2014,"Terrell, Courtney (School: Hohere Technische Bundeslehr- und Versuchsanstalt Dornbirn)",Examining the Efficiency of Vertical Axis Wind Turbines Using Inexpensive Materials,Engineering Mechanics,United States of America,GA,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13310,False,0
65,2014,"Warman, Pranav (School: Butte High School)",Mathematically Modeling Genetic Amplification,Materials Science,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13311,False,0
66,2014,"Tripathi, Animesh",Optimizing Digital Content for Color-Blind Audiences Using Enhancement Algorithms,Embedded Systems,India,,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13312,True,1
67,2014,"Mitra, Abhishek","""PACEBYTE"": A Research Engine Based on Automated Summarization",Earth and Environmental Sciences,India,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13313,False,0
68,2014,"Gabrielski, Jana (School: No. 6 High School)","Algae....the Greener Fuel, Year Three",Engineering Mechanics,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13314,False,0
69,2014,"Mosley, Jacob (School: Huayang High School)
                                        <br>
                                     Mosley, Cassandra (School: Huayang High School)
                                        <br>
                                     Sullivan, Gabriela (School: Huayang High School)
                                        <br>
                                     Sullivan, Gabriela",Silver Nanoparticles Synthesized Using Green Chemistry:  A Study of Environmental Impacts on Brassica oleracea in a Hydroponic System,Physics and Astronomy,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13315,False,0
70,2014,"Griffin, Calvin (School: Lake Mary Preparatory School)
                                        <br>
                                     LeBlanc, Parker (School: Lake Mary Preparatory School)",Medicinal Properties of Ocimum basilicum and Azadirachta indica,Mathematics,United States of America,LA,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13316,False,0
71,2014,"Momin, Aqib (School: Nottingham High School)",Computational Simulation of T1 Contrast in BOLD-fMRI Scans to Improve Analysis Potential,Embedded Systems,United States of America,GA,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13317,False,0
72,2014,"Gupta, Kopal
                                        <br>
                                     Nandy, Shreya",A Unique Kit for Detection and Removal of Pesticides from Fruits and Vegetables,Computational Biology and Bioinformatics,India,,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13318,True,1
73,2014,"Mitra, Prachatos
                                        <br>
                                     Roy, Shailpik",Mammography Image Analysis to Ease Detection of Microcalcifications,Embedded Systems,India,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13319,False,0
74,2014,"Kustareva, Anna
                                        <br>
                                     Sokolov, Maxim",Translator of Gestures: Human Interface Software,Embedded Systems,Russian Federation,,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13320,True,1
75,2014,"Zubi, Yasmine (School: Trinity Lutheran High School Bend Oregon)",Overcoming Resistance,Computational Biology and Bioinformatics,United States of America,FL,,"['Second Award of $2,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13321,True,1
76,2014,"Hines, Nickolas (School: Chattahoochee High School)",Investigation of Endocrine Disruptors: The Presence and Effects of Neonicotinoid and Sulfoximine Pesticides,Materials Science,United States of America,TX,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13322,False,0
77,2014,"Kuikahi, Irene (School: Success Academy DSU)
                                        <br>
                                     Valera, Jasmin (School: Success Academy DSU)",Investigating the Fermentation and Distillation of Ethanol from an Invasive Species,Materials Science,United States of America,HI,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13324,False,0
78,2014,"Hermanoff, Robert (School: Princess Chulabhorn Science High School Phitsanulok)",A Study of the Effects of Incomplete Spiroids on the Drag Coefficient of an Airfoil,Engineering Mechanics,United States of America,WI,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13325,False,0
79,2014,"Wanjura, Sarah (School: Chattahoochee High School)","The Compositional and Hormonal Difference between Organic and Conventional Meat, Year II",Plant Sciences,United States of America,TX,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13326,False,0
80,2014,"MacKay, Evan (School: Odense Tekniske Gymnasium)","Distribution and Patterns of Movement of the Weevil Diaprepes abbreviatus in Eucalyptus (Corymbia torelliana), a Fast-Growing Biofuel Crop",Plant Sciences,United States of America,FL,,['Intel Foundation Cultural and Scientific Visit to China Award'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13327,True,1
81,2014,"Devulapalli, Pramith (School: Lindblom Math and Science Academy)",Frequency Modulation Feedback Control for Near-Field Acoustic Characterization of Mesoscopic Fluid Films,Physics and Astronomy,United States of America,OR,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13328,False,0
82,2014,"Manuyag, Charlyn (School: Success Academy DSU)",Investigating the Potential of Graphene Coated Electrodes in Corrosion Prevention to Improve the Performance of Dye-Sensitized Solar Cells,Engineering Mechanics,United States of America,HI,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13329,False,0
83,2014,"Wright, Auriel",A Comparison of the Effects of Thermotherapy and Electrotherapy on Soybean Plants,Physics and Astronomy,United States of America,GA,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13330,True,1
84,2014,"Aziza, Alfy Fathnur",Removal of Dissolved Heavy Metal Pollutant Using Tropical Peat Soils of Indonesia,Materials Science,Indonesia,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13331,False,0
85,2014,"Reid, Piper (School: Pak Kau College)",Nova Delphini 2013: A Backyard Analysis of a Classical Nova,Microbiology,United States of America,TX,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13332,True,1
86,2014,"Marks, Taylor (School: The Demonstration School of Khon Kaen University (Modindaeng))","An Analysis of the Effect of Trihydric Alcohol, Propane 1,2,3-triol (Glycerol), on the Strength and Pliability of Bio-engineered Fabric",Energy: Physical,United States of America,LA,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13333,False,0
87,2014,,An Experimental Study to Determine the Food Preferences of Coconut Crabs (Birgus latro) in Captivity,Plant Sciences,American Samoa,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13334,False,0
88,2014,"Sahu, Amrit",VOICE-O-NATOR: An Aid for the Speech Impaired,Energy: Chemical,India,,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13335,True,1
89,2014,"Hyle, John",Airfoils,Systems Software,United States of America,GA,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13336,False,0
90,2014,"Urag, Angelo Gabriel",Wings of Neurothemis terminata (Dragonfly): A Unique Hydrophobic Nanosculptured Surface Model,Energy: Physical,Philippines,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13337,False,0
91,2014,"Salokhina, Lizaveta",The Jerusalem Artichoke as a Perspective Renewable Fuel,Engineering Mechanics,Belarus,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13338,False,0
92,2014,"Elorza, Yonah
                                        <br>
                                     Olano, Ana",Muon Flux through Various Substances and Conditions,Robotics and Intelligent Machines,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13339,False,0
93,2014,"Xu, Diming",The Design of Plate Fan Based on Photo Sensor,Energy: Chemical,China,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13340,False,0
94,2014,"Grothe, Ezra (School: InTech Collegiate High School)
                                        <br>
                                     Sather III, Richard (School: InTech Collegiate High School)",The Design Development of an Innovative Multi-Modal Device to Improve Hand Hygiene Rates in Health Care Facilities,Energy: Chemical,United States of America,MN,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13341,False,0
95,2014,"Fomin, Vsevolod",Laser Speckle-Contrast Imaging: Bloodflow Mapping,Energy: Physical,Russian Federation,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13342,False,0
96,2014,"Kapseu, Josee
                                        <br>
                                     Kapseu, Josee
                                        <br>
                                     Wilkening, Karen",A Test to Determine the Effect of Ethyl Alcohol on the Degradation of Cellular Hydrogen Peroxide by Enzyme Catalase,Chemistry,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13343,False,0
97,2014,"Sagar, Jaya",Brassica juncea (Mustard) Flowers to Attract Pollinators for Better Malus domestica (Apple) Yield,Physics and Astronomy,India,,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13344,True,1
98,2014,"Chernyadev, Nikita
                                        <br>
                                     Khodebko, Dmitry
                                        <br>
                                     Shkitilev, Alexander",Digital Sandwich: Tasty Terabytes,Energy: Chemical,Russian Federation,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13345,False,0
99,2014,"English, Elijah (School: Höhere Technische Bundeslehr- und Versuchsanstalt Villach)","The Investigation of the Antineoplastic Effects of Lentinus Edodes on Lung Cancer(PC9) Cell Line and Trachial-Bronchial Epithelial (AALE) Cells, Phase II",Plant Sciences,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13346,False,0
100,2014,"Brchnelova, Michaela",On Tycho Supernova Remnant Accelerating Cosmic-rays,Microbiology,Slovakia,,,"['European Organization for Nuclear Research-CERN: All expense paid trip to tour CERN', 'First Award of $5,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13347,True,2
101,2014,"Novak, Marek",Personal Physiological Sensor Network Device,Energy: Chemical,Czech Republic,,,"['Second Award of $2,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13348,True,1
102,2014,"Quintero, Juan
                                        <br>
                                     Restrepo, David",The Mind: Graphics and Physics Hybrid Engine for Video Games,Embedded Systems,Colombia,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13349,False,0
103,2014,"Arredondo, Kelly
                                        <br>
                                     Garces, Katherin
                                        <br>
                                     Gonzalez, Sara",TPS (Thermoformed Plastic with Sand): Recycling Material as Coarse Aggregate in Concrete Mix,Energy: Physical,Colombia,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13350,False,0
104,2014,"Gaviria, Juan
                                        <br>
                                     Hernandez, Stefanfa
                                        <br>
                                     Sanchez, Sara","The Hydro-Aeroponic Crops, an Alternative Technique in Agriculture",Physics and Astronomy,Colombia,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13351,False,0
105,2014,"Liu, Ying (School: Storck-Gymnasium)
                                        <br>
                                     Wang, Jessica (School: Storck-Gymnasium)",Utilizing Homologous Simplicial Complexes to Model Genomic Data,Computational Biology and Bioinformatics,United States of America,TX,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13352,False,0
106,2014,"Cunningham, Connor",Pi to Share: Utilizing the Raspberry Pi as a Home File Server,Embedded Systems,United States of America,OK,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13353,False,0
